LIST,EXP ORDER,ID,CONDITION,VERB TYPE,BEFORE/AFTER,AUDIO FILE NAME,ITEM
TOList1,28,FILLER_BAD_6,FILLER_BAD,N/A,N/A,FILLER_BAD_6.wav,A woman that I ran away.
TOList1,29,PP_SS_2,PP_SS,N/A,N/A,PP_SS_2.wav,The chef cooked with the recipe for the reception.
TOList1,30,FILLER_MED_4,FILLER_MED,N/A,N/A,FILLER_MED_4.wav,Where is the keychain that we licked the frosting while slipping on?
TOList1,31,DECL_TO_see,DECL_TO,Stative,N/A,DECL_TO_see.wav,The child watched TV to see the ballerina.
TOList1,32,PP_LL_3,PP_LL,N/A,N/A,PP_LL_3.wav,The firefighter collapsed against the firetruck that was red after the training that was comprehensive.
TOList1,33,FILLER_BAD_5,FILLER_BAD,N/A,N/A,FILLER_BAD_5.wav,What does everybody say that Marge saw the books?
TOList1,34,DECL_TO_entertain,DECL_TO,Active,N/A,DECL_TO_entertain.wav,The clown made a face to entertain the kids.
TOList1,35,FILLER_GOOD_2,FILLER_GOOD,N/A,N/A,FILLER_GOOD_2.wav,Which advisors think that Bill should drive an electric car when he is in the city?
TOList1,36,Q_TO_buy,Q_TO,Active,N/A,Q_TO_buy.wav,What did the shopper compare ads to buy?
TOList1,37,FILLER_MED_5,FILLER_MED,N/A,N/A,FILLER_MED_5.wav,The wagon fought while a nurse fell on.
TOList1,38,DECL_TO_diagnose,DECL_TO,Active,N/A,DECL_TO_diagnose.wav,The doctor ordered tests to diagnose the problem.
TOList1,39,PP_LS_3,PP_LS,N/A,N/A,PP_LS_3.wav,The tourist slept on the bed that was small throughout the evening.
TOList1,40,FILLER_BAD_4,FILLER_BAD,N/A,N/A,FILLER_BAD_4.wav,The keyboard that he touched a cord when looking at.
TOList1,41,Q_TO_hear,Q_TO,Stative,N/A,Q_TO_hear.wav,Who did the assistant open YouTube to hear?
TOList1,42,FILLER_GOOD_5,FILLER_GOOD,N/A,N/A,FILLER_GOOD_5.wav,Who wants to eat now?
TOList1,43,PP_LL_4,PP_LL,N/A,N/A,PP_LL_4.wav,The freshman complained about the grade that was low at the library that was empty.
TOList1,44,DECL_TO_find,DECL_TO,Active,N/A,DECL_TO_find.wav,The dentist read books to find the story.
TOList1,45,FILLER_BAD_7,FILLER_BAD,N/A,N/A,FILLER_BAD_7.wav,The students will studied on those bus?
TOList1,46,Q_TO_impress,Q_TO,Active,N/A,Q_TO_impress.wav,Who did the accountant change jobs to impress?
TOList1,47,PP_SS_3,PP_SS,N/A,N/A,PP_SS_3.wav,The singer  performed with the microphone  after the wedding.
TOList1,48,FILLER_MED_10,FILLER_MED,N/A,N/A,FILLER_MED_10.wav,She wondered whether the customer and not the other manager had heard what they said.
TOList1,49,DECL_TO_help,DECL_TO,Active,N/A,DECL_TO_help.wav,The custodian unlocked the door to help the manager.
TOList1,50,Q_TO_observe,Q_TO,Stative,N/A,Q_TO_observe.wav,What did the scientist add chemicals to observe?
TOList1,51,FILLER_GOOD_6,FILLER_GOOD,N/A,N/A,FILLER_GOOD_6.wav,The manager we all saw wasn't there today.
TOList1,52,PP_SL_3,PP_SL,N/A,N/A,PP_SL_3.wav,The workers rested under the umbrella after the renovation that was difficult.
TOList1,53,FILLER_BAD_8,FILLER_BAD,N/A,N/A,FILLER_BAD_8.wav,Which child sneezing those field?
TOList1,54,DECL_TO_smell,DECL_TO,Stative,N/A,DECL_TO_smell.wav,The server lit candles to smell the scent.
TOList1,55,Q_TO_meet,Q_TO,Active,N/A,Q_TO_meet.wav,Who did the mechanic change classes to meet?
TOList1,56,PP_SS_4,PP_SS,N/A,N/A,PP_SS_4.wav,The star smiled throughout the show for the camera.
TOList1,57,DECL_TO_inspire,DECL_TO,Active,N/A,DECL_TO_inspire.wav,The driver won races to inspire the students.
TOList1,58,FILLER_MED_6,FILLER_MED,N/A,N/A,FILLER_MED_6.wav,Why did you see the wallet that they desired coins before?
TOList1,59,Q_TO_sell,Q_TO,Active,N/A,Q_TO_sell.wav,What did the clerk play music to sell?
TOList1,60,DECL_TO_marry,DECL_TO,Active,N/A,DECL_TO_marry.wav,The manager switched religions to marry the librarian.
TOList1,61,FILLER_BAD_9,FILLER_BAD,N/A,N/A,FILLER_BAD_9.wav,My tent that I earned money after.
TOList1,62,Q_TO_remember,Q_TO,Stative,N/A,Q_TO_remember.wav,Who did the salesperson take notes to remember?
TOList1,63,PP_LS_4,PP_LS,N/A,N/A,PP_LS_4.wav,The attorney despaired over the ruling that was unjust after the hearing.
TOList1,64,FILLER_MED_7,FILLER_MED,N/A,N/A,FILLER_MED_7.wav,Who did the woman who she thought went to the artifice before the other day?
TOList1,65,PP_SL_4,PP_SL,N/A,N/A,PP_SL_4.wav,The toddler played with the toy in the morning that was bright.
TOList1,66,FILLER_GOOD_7,FILLER_GOOD,N/A,N/A,FILLER_GOOD_7.wav,What do you think was on the table yesterday?
TOList1,67,DECL_TO_prepare,DECL_TO,Active,N/A,DECL_TO_prepare.wav,The pilot bought groceries to prepare the dough.
TOList1,68,Q_TO_interrupt,Q_TO,Active,N/A,Q_TO_interrupt.wav,Who did the grandfather clear his throat to interrupt?
TOList1,69,FILLER_BAD_10,FILLER_BAD,N/A,N/A,FILLER_BAD_10.wav,A napkin that it spilled milk before an employer.
TOList1,70,PP_SS_5,PP_SS,N/A,N/A,PP_SS_5.wav,The leader spoke to the audience about the issue.
TOList1,71,FILLER_MED_8,FILLER_MED,N/A,N/A,FILLER_MED_8.wav,There is no way to be expected by such a person that would think.
TOList1,72,PP_LL_5,PP_LL,N/A,N/A,PP_LL_5.wav,The comedian hid behind the truck that was old for the prank that was hilarious.
TOList1,73,Q_TO_win,Q_TO,Active,N/A,Q_TO_win.wav,What did the cook practice running to win?
TOList1,74,DECL_TO_surprise,DECL_TO,Active,N/A,DECL_TO_surprise.wav,The lawyer wrapped gifts to surprise the trainee.
TOList1,75,FILLER_GOOD_8,FILLER_GOOD,N/A,N/A,FILLER_GOOD_8.wav,We don't believe that he was there.
TOList1,76,PP_SL_5,PP_SL,N/A,N/A,PP_SL_5.wav,The girl climbed onto the tree amid the crowd that was watching.
TOList1,77,FILLER_MED_9,FILLER_MED,N/A,N/A,FILLER_MED_9.wav,The customer mortgaged breakfast.
TOList1,78,Q_TO_understand,Q_TO,Stative,N/A,Q_TO_understand.wav,What did the teacher watch movies to understand?
TOList1,79,PP_LS_5,PP_LS,N/A,N/A,PP_LS_5.wav,The researcher looked through the lens that was adjusted at the sky.
TOList1,80,Q_TO_woo,Q_TO,Active,N/A,Q_TO_woo.wav,Who did the attendant arrange flowers to woo?
TOList2,1,FILLER_GOOD_1,FILLER_GOOD,N/A,N/A,FILLER_GOOD_1.wav,A microphone hit the emcee.
TOList2,2,FILLER_BAD_1,FILLER_BAD,N/A,N/A,FILLER_BAD_1.wav,Who are closed a window?
TOList2,3,PP_SL_6,PP_SL,N/A,N/A,PP_SL_6.wav,The swimmer spoke on the phone before the meet that was important.
TOList2,4,DECL_TO_woo,DECL_TO,Active,N/A,DECL_TO_woo.wav,The attendant arranged flowers to woo the gardener.
TOList2,5,PP_LL_6,PP_LL,N/A,N/A,PP_LL_6.wav,The actress competed for the role that was important during the audition that was competitive.
TOList2,6,Q_TO_smell,Q_TO,Stative,N/A,Q_TO_smell.wav,What did the server light candles to smell?
TOList2,7,FILLER_MED_1,FILLER_MED,N/A,N/A,FILLER_MED_1.wav,The motorcycle that we walked home after Eli slept on.
TOList2,8,Q_TO_inspire,Q_TO,Active,N/A,Q_TO_inspire.wav,Who did the driver win races to inspire?
TOList2,9,DECL_TO_interrupt,DECL_TO,Active,N/A,DECL_TO_interrupt.wav,The grandfather cleared his throat to interrupt the manager.
TOList2,10,PP_LS_6,PP_LS,N/A,N/A,PP_LS_6.wav,The athlete ran toward the gate that was distant with the baton.
TOList2,11,FILLER_GOOD_2,FILLER_GOOD,N/A,N/A,FILLER_GOOD_2.wav,Which advisors think that Bill should drive an electric car when he is in the city?
TOList2,12,Q_TO_surprise,Q_TO,Active,N/A,Q_TO_surprise.wav,Who did the lawyer wrap gifts to surprise?
TOList2,13,PP_SS_6,PP_SS,N/A,N/A,PP_SS_6.wav,The professor talked about the assignment during the videoconference.
TOList2,14,FILLER_BAD_2,FILLER_BAD,N/A,N/A,FILLER_BAD_2.wav,Would the this store is successful?
TOList2,15,DECL_TO_hear,DECL_TO,Stative,N/A,DECL_TO_hear.wav,The assistant opened YouTube to hear the singer.
TOList2,16,FILLER_MED_2,FILLER_MED,N/A,N/A,FILLER_MED_2.wav,Who conquered a company before a priest could drove to which house?
TOList2,17,DECL_TO_meet,DECL_TO,Active,N/A,DECL_TO_meet.wav,The mechanic changed classes to meet the engineer.
TOList2,18,PP_LS_7,PP_LS,N/A,N/A,PP_LS_7.wav,The mom strolled with the kite that was colorful around the park.
TOList2,19,FILLER_MED_3,FILLER_MED,N/A,N/A,FILLER_MED_3.wav,A violinist donated a warthog.
TOList2,20,Q_TO_imagine,Q_TO,Stative,N/A,Q_TO_imagine.wav,What did the receptionist try meditation to imagine?
TOList2,21,PP_LL_7,PP_LL,N/A,N/A,PP_LL_7.wav,The robber escaped from the neighborhood that was peaceful with the jewelry that was expensive.
TOList2,22,FILLER_GOOD_7,FILLER_GOOD,N/A,N/A,FILLER_GOOD_7.wav,What do you think was on the table yesterday?
TOList2,23,Q_TO_prepare,Q_TO,Active,N/A,Q_TO_prepare.wav,What did the pilot buy groceries to prepare?
TOList2,24,FILLER_BAD_3,FILLER_BAD,N/A,N/A,FILLER_BAD_3.wav,A closet traveled a brother.
TOList2,25,DECL_TO_remember,DECL_TO,Stative,N/A,DECL_TO_remember.wav,The salesperson took notes to remember the thief.
TOList2,26,PP_SL_7,PP_SL,N/A,N/A,PP_SL_7.wav,The chef cooked with the recipe for the reception that was lively.
TOList2,27,Q_TO_diagnose,Q_TO,Active,N/A,Q_TO_diagnose.wav,What did the doctor order tests to diagnose?
TOList2,28,FILLER_BAD_4,FILLER_BAD,N/A,N/A,FILLER_BAD_4.wav,The keyboard that he touched a cord when looking at.
TOList2,29,DECL_TO_win,DECL_TO,Active,N/A,DECL_TO_win.wav,The cook practiced running to win the race.
TOList2,30,FILLER_MED_4,FILLER_MED,N/A,N/A,FILLER_MED_4.wav,Where is the keychain that we licked the frosting while slipping on?
TOList2,31,PP_SS_7,PP_SS,N/A,N/A,PP_SS_7.wav,The beautician raved about the hairstyle to the customer.
TOList2,32,DECL_TO_understand,DECL_TO,Stative,N/A,DECL_TO_understand.wav,The teacher watched movies to understand the book.
TOList2,33,FILLER_BAD_5,FILLER_BAD,N/A,N/A,FILLER_BAD_5.wav,What does everybody say that Marge saw the books?
TOList2,34,PP_LL_8,PP_LL,N/A,N/A,PP_LL_8.wav,The tourist slept on the bed that was small throughout the evening that was hot.
TOList2,35,FILLER_GOOD_4,FILLER_GOOD,N/A,N/A,FILLER_GOOD_4.wav,Are all of the children in the room?
TOList2,36,Q_TO_help,Q_TO,Active,N/A,Q_TO_help.wav,Who did the custodian unlock the door to help?
TOList2,37,FILLER_MED_10,FILLER_MED,N/A,N/A,FILLER_MED_10.wav,She wondered whether the customer and not the other manager had heard what they said
TOList2,38,DECL_TO_celebrate,DECL_TO,Active,N/A,DECL_TO_celebrate.wav,The grandmother bought shoes to celebrate the win.
TOList2,39,PP_LS_8,PP_LS,N/A,N/A,PP_LS_8.wav,The workers rested under the umbrella that was large after the renovation.
TOList2,40,FILLER_BAD_6,FILLER_BAD,N/A,N/A,FILLER_BAD_6.wav,A woman that I ran away.
TOList2,41,Q_TO_demonstrate,Q_TO,Active,N/A,Q_TO_demonstrate.wav,What did the guide drink beer to demonstrate?
TOList2,42,FILLER_GOOD_5,FILLER_GOOD,N/A,N/A,FILLER_GOOD_5.wav,Who wants to eat now?
TOList2,43,PP_LL_9,PP_LL,N/A,N/A,PP_LL_9.wav,The attorney despaired over the ruling that was unjust after the hearing that was delayed.
TOList2,44,DECL_TO_contact,DECL_TO,Active,N/A,DECL_TO_contact.wav,The author called the office to contact the publisher.
TOList2,45,FILLER_BAD_7,FILLER_BAD,N/A,N/A,FILLER_BAD_7.wav,The students will studied on those bus?
TOList2,46,Q_TO_enchant,Q_TO,Stative,N/A,Q_TO_enchant.wav,Who did the student light sparklers to enchant?
TOList2,47,PP_SS_8,PP_SS,N/A,N/A,PP_SS_8.wav,The firefighter collapsed against the firetruck after the training.
TOList2,48,FILLER_MED_5,FILLER_MED,N/A,N/A,FILLER_MED_5.wav,The wagon fought while a nurse fell on.
TOList2,49,Q_TO_marry,Q_TO,Active,N/A,Q_TO_marry.wav,Who did the manager switch religions to marry?
TOList2,50,DECL_TO_bake,DECL_TO,Active,N/A,DECL_TO_bake.wav,The gardener picked berries to bake the pies.
TOList2,51,FILLER_GOOD_6,FILLER_GOOD,N/A,N/A,FILLER_GOOD_6.wav,The manager we all saw wasn't there today.
TOList2,52,Q_TO_feed,Q_TO,Active,N/A,Q_TO_feed.wav,Who did the bookkeeper set the table to feed?
TOList2,53,FILLER_BAD_8,FILLER_BAD,N/A,N/A,FILLER_BAD_8.wav,Which child sneezing those field?
TOList2,54,PP_SL_8,PP_SL,N/A,N/A,PP_SL_8.wav,The singer  performed with the microphone  after the wedding that was beautiful.
TOList2,55,DECL_TO_sell,DECL_TO,Active,N/A,DECL_TO_sell.wav,The clerk played music to sell the piano.
TOList2,56,PP_SS_9,PP_SS,N/A,N/A,PP_SS_9.wav,The freshman complained about the grade at the library.
TOList2,57,Q_TO_entertain,Q_TO,Active,N/A,Q_TO_entertain.wav,Who did the clown make a face to entertain?
TOList2,58,FILLER_MED_6,FILLER_MED,N/A,N/A,FILLER_MED_6.wav,Why did you see the wallet that they desired coins before?
TOList2,59,DECL_TO_observe,DECL_TO,Stative,N/A,DECL_TO_observe.wav,The scientist added chemicals to observe the reaction.
TOList2,60,PP_LS_9,PP_LS,N/A,N/A,PP_LS_9.wav,The toddler played with the toy that was loud in the morning.
TOList2,61,FILLER_BAD_9,FILLER_BAD,N/A,N/A,FILLER_BAD_9.wav,My tent that I earned money after.
TOList2,62,DECL_TO_buy,DECL_TO,Active,N/A,DECL_TO_buy.wav,The shopper compared ads to buy the tablet.
TOList2,63,Q_TO_see,Q_TO,Stative,N/A,Q_TO_see.wav,Who did the child watch TV to see?
TOList2,64,FILLER_MED_7,FILLER_MED,N/A,N/A,FILLER_MED_7.wav,Who did the woman who she thought went to the artifice before the other day?
TOList2,65,PP_SL_9,PP_SL,N/A,N/A,PP_SL_9.wav,The star smiled throughout the show for the camera that was rolling.
TOList2,66,FILLER_GOOD_3,FILLER_GOOD,N/A,N/A,FILLER_GOOD_3.wav,The teacher says that the course should contain material on the history of Ecuador in the colonial period.
TOList2,67,Q_TO_clean,Q_TO,Active,N/A,Q_TO_clean.wav,What did the actor do laundry to clean?
TOList2,68,DECL_TO_enjoy,DECL_TO,Stative,N/A,DECL_TO_enjoy.wav,The musician ordered dinner to enjoy the wine.
TOList2,69,FILLER_BAD_10,FILLER_BAD,N/A,N/A,FILLER_BAD_10.wav,A napkin that it spilled milk before an employer.
TOList2,70,PP_SS_10,PP_SS,N/A,N/A,PP_SS_10.wav,The comedian hid behind the truck for the prank.
TOList2,71,FILLER_MED_8,FILLER_MED,N/A,N/A,FILLER_MED_8.wav,There is no way to be expected by such a person that would think.
TOList2,72,PP_LL_10,PP_LL,N/A,N/A,PP_LL_10.wav,The researcher looked through the lens that was adjusted at the sky that was darkening.
TOList2,73,DECL_TO_assist,DECL_TO,Active,N/A,DECL_TO_assist.wav,The nurse changed sheets to assist the doctor.
TOList2,74,Q_TO_find,Q_TO,Active,N/A,Q_TO_find.wav,What did the dentist read books to find?
TOList2,75,FILLER_GOOD_8,FILLER_GOOD,N/A,N/A,FILLER_GOOD_8.wav,We don't believe that he was there.
TOList2,76,PP_SL_10,PP_SL,N/A,N/A,PP_SL_10.wav,The leader spoke to the audience about the issue that was pressing.
TOList2,77,FILLER_MED_9,FILLER_MED,N/A,N/A,FILLER_MED_9.wav,The customer mortgaged breakfast
TOList2,78,DECL_TO_impress,DECL_TO,Active,N/A,DECL_TO_impress.wav,The accountant changed jobs to impress the CEO.
TOList2,79,PP_LS_10,PP_LS,N/A,N/A,PP_LS_10.wav,The girl climbed onto the tree that was tall amid the crowd.
TOList2,80,Q_TO_know,Q_TO,Stative,N/A,Q_TO_know.wav,What did the representative conduct polls to know?
INGList1,1,FILLER_GOOD_1,FILLER_GOOD,N/A,N/A,FILLER_GOOD_1.wav,A microphone hit the emcee.
INGList1,2,FILLER_MED_1,FILLER_MED,N/A,N/A,FILLER_MED_1.wav,The motorcycle that we walked home after Eli slept on.
INGList1,3,PP_SL_11,PP_SL,N/A,N/A,PP_SL_11.wav,The professor talked about the assignment during the videoconference that was long.
INGList1,4,DECL_ING_bake,DECL_ING,Active,BEFORE,DECL_ING_bake.wav,The gardener picked berries before baking the pies.
INGList1,5,PP_LL_11 ,PP_LL,N/A,N/A,PP_LL_11 .wav,The athlete ran toward the gate that was distant with the baton that was passed.
INGList1,6,Q_ING_remember,Q_ING,Stative,AFTER,Q_ING_remember.wav,Who did the salesperson take notes after remembering?
INGList1,7,FILLER_BAD_1,FILLER_BAD,N/A,N/A,FILLER_BAD_1.wav,Who are closed a window?
INGList1,8,Q_ING_contact,Q_ING,Active,AFTER,Q_ING_contact.wav,Who did the author call the office after contacting?
INGList1,9,DECL_ING_win,DECL_ING,Active,BEFORE,DECL_ING_win.wav,The cook practiced running before winning the race.
INGList1,10,PP_LS_11,PP_LS,N/A,N/A,PP_LS_11.wav,The swimmer spoke on the phone that was new before the meet.
INGList1,11,FILLER_GOOD_2,FILLER_GOOD,N/A,N/A,FILLER_GOOD_2.wav,Which advisors think that Bill should drive an electric car when he is in the city?
INGList1,12,PP_SS_11,PP_SS,N/A,N/A,PP_SS_11.wav,The actress competed for the role during the audition.
INGList1,13,Q_ING_entertain,Q_ING,Active,BEFORE,Q_ING_entertain.wav,Who did the clown make a face before entertaining?
INGList1,14,FILLER_BAD_2,FILLER_BAD,N/A,N/A,FILLER_BAD_2.wav,Would the this store is successful?
INGList1,15,DECL_ING_clean,DECL_ING,Active,AFTER,DECL_ING_clean.wav,The actor did laundry after cleaning the stain.
INGList1,16,FILLER_MED_2,FILLER_MED,N/A,N/A,FILLER_MED_2.wav,Who conquered a company before a priest could drove to which house?
INGList1,17,DECL_ING_enjoy,DECL_ING,Stative,BEFORE,DECL_ING_enjoy.wav,The musician ordered dinner before enjoying the wine.
INGList1,18,PP_LS_12,PP_LS,N/A,N/A,PP_LS_12.wav,The chef cooked with the recipe that was famous for the reception.
INGList1,19,FILLER_MED_3,FILLER_MED,N/A,N/A,FILLER_MED_3.wav,A violinist donated a warthog.
INGList1,20,Q_ING_impress,Q_ING,Active,AFTER,Q_ING_impress.wav,Who did the accountant change jobs after impressing?
INGList1,21,FILLER_GOOD_3,FILLER_GOOD,N/A,N/A,FILLER_GOOD_3.wav,The teacher says that the course should contain material on the history of Ecuador in the colonial period.
INGList1,22,PP_LL_12 ,PP_LL,N/A,N/A,PP_LL_12 .wav,The mom strolled with the kite that was colorful around the park that was busy.
INGList1,23,DECL_ING_demonstrate,DECL_ING,Active,AFTER,DECL_ING_demonstrate.wav,The guide drank beer after demonstrating the dance.
INGList1,24,FILLER_BAD_3,FILLER_BAD,N/A,N/A,FILLER_BAD_3.wav,A closet traveled a brother.
INGList1,25,Q_ING_help,Q_ING,Active,BEFORE,Q_ING_help.wav,Who did the custodian unlock the door before helping?
INGList1,26,PP_SL_12,PP_SL,N/A,N/A,PP_SL_12.wav,The beautician raved about the hairstyle to the customer that was curious.
INGList1,27,DECL_ING_assist,DECL_ING,Active,BEFORE,DECL_ING_assist.wav,The nurse changed sheets before assisting the doctor.
INGList1,28,FILLER_BAD_4,FILLER_BAD,N/A,N/A,FILLER_BAD_4.wav,The keyboard that he touched a cord when looking at.
INGList1,29,PP_SS_12,PP_SS,N/A,N/A,PP_SS_12.wav,The robber escaped from the neighborhood with the jewelry.
INGList1,30,FILLER_MED_4,FILLER_MED,N/A,N/A,FILLER_MED_4.wav,Where is the keychain that we licked the frosting while slipping on?
INGList1,31,DECL_ING_smell,DECL_ING,Stative,AFTER,DECL_ING_smell.wav,The server lit candles after smelling the scent.
INGList1,32,Q_ING_interrupt,Q_ING,Active,AFTER,Q_ING_interrupt.wav,Who did the grandfather clear his throat after interrupting?
INGList1,33,FILLER_BAD_5,FILLER_BAD,N/A,N/A,FILLER_BAD_5.wav,What does everybody say that Marge saw the books?
INGList1,34,PP_LL_13 ,PP_LL,N/A,N/A,PP_LL_13 .wav,The workers rested under the umbrella that was large after the renovation that was difficult.
INGList1,35,FILLER_GOOD_4,FILLER_GOOD,N/A,N/A,FILLER_GOOD_4.wav,Are all of the children in the room?
INGList1,36,DECL_ING_buy,DECL_ING,Active,BEFORE,DECL_ING_buy.wav,The shopper compared ads before buying the tablet.
INGList1,37,FILLER_MED_10,FILLER_MED,N/A,N/A,FILLER_MED_10.wav,She wondered whether the customer and not the other manager had heard what they said
INGList1,38,Q_ING_enchant,Q_ING,Stative,BEFORE,Q_ING_enchant.wav,Who did the student light sparklers before enchanting?
INGList1,39,PP_LS_13,PP_LS,N/A,N/A,PP_LS_13.wav,The singer  performed with the microphone  that was wireless after the wedding.
INGList1,40,FILLER_BAD_6,FILLER_BAD,N/A,N/A,FILLER_BAD_6.wav,A woman that I ran away.
INGList1,41,Q_ING_meet,Q_ING,Active,AFTER,Q_ING_meet.wav,Who did the mechanic change classes after meeting?
INGList1,42,FILLER_GOOD_5,FILLER_GOOD,N/A,N/A,FILLER_GOOD_5.wav,Who wants to eat now?
INGList1,43,PP_LL_14 ,PP_LL,N/A,N/A,PP_LL_14 .wav,The toddler played with the toy that was loud in the morning that was bright.
INGList1,44,DECL_ING_imagine,DECL_ING,Stative,AFTER,DECL_ING_imagine.wav,The receptionist tried meditation after imagining the future.
INGList1,45,FILLER_BAD_7,FILLER_BAD,N/A,N/A,FILLER_BAD_7.wav,The students will studied on those bus?
INGList1,46,Q_ING_feed,Q_ING,Active,BEFORE,Q_ING_feed.wav,Who did the bookkeeper set the table before feeding?
INGList1,47,PP_SS_13,PP_SS,N/A,N/A,PP_SS_13.wav,The tourist slept on the bed throughout the evening.
INGList1,48,FILLER_MED_5,FILLER_MED,N/A,N/A,FILLER_MED_5.wav,The wagon fought while a nurse fell on.
INGList1,49,DECL_ING_diagnose,DECL_ING,Active,AFTER,DECL_ING_diagnose.wav,The doctor ordered tests after diagnosing the problem.
INGList1,50,Q_ING_hear,Q_ING,Stative,AFTER,Q_ING_hear.wav,Who did the assistant open YouTube after hearing?
INGList1,51,FILLER_GOOD_6,FILLER_GOOD,N/A,N/A,FILLER_GOOD_6.wav,The manager we all saw wasn't there today.
INGList1,52,PP_SL_13,PP_SL,N/A,N/A,PP_SL_13.wav,The firefighter collapsed against the firetruck after the training that was comprehensive.
INGList1,53,FILLER_BAD_8,FILLER_BAD,N/A,N/A,FILLER_BAD_8.wav,Which child sneezing those field?
INGList1,54,Q_ING_surprise,Q_ING,Active,BEFORE,Q_ING_surprise.wav,Who did the lawyer wrap gifts before surprising?
INGList1,55,DECL_ING_find,DECL_ING,Active,AFTER,DECL_ING_find.wav,The dentist read books after finding the story.
INGList1,56,PP_SS_14,PP_SS,N/A,N/A,PP_SS_14.wav,The attorney despaired over the ruling after the hearing.
INGList1,57,DECL_ING_understand,DECL_ING,Stative,BEFORE,DECL_ING_understand.wav,The teacher watched movies before understanding the book.
INGList1,58,FILLER_MED_6,FILLER_MED,N/A,N/A,FILLER_MED_6.wav,Why did you see the wallet that they desired coins before?
INGList1,59,Q_ING_woo,Q_ING,Active,AFTER,Q_ING_woo.wav,Who did the attendant arrange flowers after wooing?
INGList1,60,DECL_ING_celebrate,DECL_ING,Active,BEFORE,DECL_ING_celebrate.wav,The grandmother bought shoes before celebrating the win.
INGList1,61,FILLER_BAD_9,FILLER_BAD,N/A,N/A,FILLER_BAD_9.wav,My tent that I earned money after.
INGList1,62,PP_LS_14,PP_LS,N/A,N/A,PP_LS_14.wav,The star smiled throughout the show that was popular for the camera.
INGList1,63,Q_ING_see,Q_ING,Stative,BEFORE,Q_ING_see.wav,Who did the child watch TV before seeing?
